vendor_name,total_payment,projects,avg_cost,avg_risk,dataset_version
Subansiri Traders Ziro,2500000.0,1,2500000.0,36.67,V1
Jaya Lcs Ltd,2498104.0,1,2498104.0,50.22,V1
Padmawati Mssm,2498103.0,1,2498103.0,29.47,V1
Jeeva S,2497826.0,1,2497826.0,29.47,V1
Lokesh C,2495309.0,1,2495309.0,29.47,V1
SHREE HARIOM INFOTECH,2492131.0,2,1246065.5,37.269999999999996,V1
Umesh S,2487158.0,1,2487158.0,29.47,V1
Ravi Realcon Pvt Ltd,2482831.0,1,2482831.0,29.47,V1
MANDA RAJITHA,2464008.0,5,492801.6,50.910000000000004,V1
DHANSHREE GANGARAM PATIL,2447691.0,1,2447691.0,29.47,V1
MEMBER SECY OB AND OC WWB BBSR,2400000.0,4,600000.0,49.2375,V1
S S Traders,2389000.0,1,2389000.0,29.19,V1
R K AGENCIES,2376000.0,4,594000.0,50.06,V1
PRABHAKARAN K,2353898.0,1,2353898.0,28.78,V1
Ajay Kumar Singh,2328400.0,119,19566.386554621848,39.3563025210084,V1
KSK ENGINEERS,2317226.0,2,1158613.0,35.504999999999995,V1
SAROJ KANTA NAIK,2300000.0,6,383333.3333333333,49.51666666666667,V1
SRIJAN CONSTRUCTION,2280018.0,1,2280018.0,28.59,V1
Sre MCM and Co,2276220.0,1,2276220.0,28.59,V1
Medica Enterprises,2249700.0,1,2249700.0,18.07,V1
RAJESH CHAUHAN,2232355.0,3,744118.3333333334,46.65333333333333,V1
MR RAJESWARAN LOHIYADASAN,2214985.0,1,2214985.0,18.07,V1
GURJEET SINGH,2202571.0,1,2202571.0,18.07,V1
M A construction,2201356.0,1,2201356.0,18.07,V1
SG ENTERPRISE,2199000.0,1,2199000.0,18.07,V1
Yuvraj Construction,2196405.0,2,1098202.5,35.705,V1
SAI ENTERPRISES,2193739.0,4,548434.75,38.7725,V1
DWIVIDI CONSTRUCTION AND SUPPLIER PRO HARE RAM DWIVEDI,2191968.0,3,730656.0,45.666666666666664,V1
