mp_key,mp_name,state,constituency,projects_analyzed,total_recommended,total_sanctioned,total_expenditure,total_cost_overrun,average_risk_score,max_risk_score,high_risk_projects,critical_projects,anomaly_projects,utilization_pct,risk_category
K E PRAKASH,K E PRAKASH,Tamil Nadu,ERODE,2,0.0,2300000.0,400000.0,0.0,8.85,17.4,0,0,0,17.391304347826086,Low
PRADEEP KUMAR SINGH,Pradeep Kumar Singh,Bihar,ARARIA,1,448127.0,2475000.0,0.0,0.0,8.79,8.79,0,0,0,0.0,Low
SARABJEET SINGH KHALSA,SARABJEET SINGH KHALSA,Punjab,FARIDKOT(SC),2,1238044.0,500000.0,390894.0,190894.0,8.785,15.35,0,0,1,78.17880000000001,Low
SANTOSH PANDEY,Santosh Pandey,Chhattisgarh,RAJNANDGAON,1,2499475.0,2499475.0,0.0,0.0,8.47,8.47,0,0,0,0.0,Low
MANI A,MANI. A.,Tamil Nadu,DHARAMAPURI,2,0.0,2655000.0,1498703.0,498703.0,8.33,13.38,0,0,1,56.44832391713748,Low
RICHARD VANLALHMANGAIHA,RICHARD VANLALHMANGAIHA,Mizoram,MIZORAM (ST),2,350000.0,2057115.0,490000.0,240000.0,8.23,13.16,0,0,1,23.819767003789288,Low
GANESAN SELVAM,Ganesan Selvam,Tamil Nadu,KANCHEEPURAM(SC),2,1899661.0,2248588.0,0.0,0.0,8.219999999999999,11.7,0,0,1,0.0,Low
GAURAV GOGOI,GAURAV GOGOI,Assam,JORHAT,2,0.0,350000.0,405950.0,205950.0,8.075,11.99,0,0,1,115.9857142857143,Low
AFZAL ANSARI,AFZAL ANSARI,Uttar Pradesh,GHAZIPUR,3,0.0,1739700.0,599279.0,199279.0,7.913333333333334,14.22,0,0,1,34.44726102201529,Low
SMT SATABDI ROY BANERJEE,Smt Satabdi Roy (Banerjee),West Bengal,BIRBHUM,2,973383.0,780089.0,249653.0,0.0,7.859999999999999,12.77,0,0,0,32.003143231092864,Low
BAG MITALI,BAG MITALI,West Bengal,ARAMBAG(SC),2,377848.0,877848.0,1358026.0,858026.0,7.525,12.58,0,0,1,154.6994468290638,Low
V S MATHESWARAN,V S Matheswaran,Tamil Nadu,NAMAKKAL,3,1850000.0,1049965.0,649675.0,299675.0,7.473333333333333,13.12,0,0,1,61.87587205287796,Low
RADHE SHYAM RATHIYA,RADHE SHYAM RATHIYA,Chhattisgarh,RAIGARH(ST),2,0.0,2000000.0,1304437.0,304437.0,7.3149999999999995,12.11,0,0,1,65.22185,Low
SHRI PP CHAUDHARY,Shri PP Chaudhary,Rajasthan,PALI,1,2257000.0,2257000.0,0.0,0.0,7.26,7.26,0,0,0,0.0,Low
PRANITI SUSHILKUMAR SHINDE,PRANITI SUSHILKUMAR SHINDE,Maharashtra,SOLAPUR(SC),1,499880.0,499880.0,0.0,0.0,7.15,7.15,0,0,0,0.0,Low
KALYAN BANERJEE,Kalyan Banerjee,West Bengal,SREERAMPUR,2,0.0,1665355.0,450683.0,0.0,7.029999999999999,12.36,0,0,0,27.06227801279607,Low
GIRIDHARI YADAV,Giridhari Yadav,Bihar,BANKA,1,1995127.0,1995127.0,0.0,0.0,7.0,7.0,0,0,0,0.0,Low
GAJENDRA SINGH PATEL,Gajendra Singh Patel,Madhya Pradesh,KHARGONE(ST),2,2000000.0,1900000.0,0.0,0.0,6.945,9.66,0,0,1,0.0,Low
ARUN NEHRU,ARUN NEHRU,Tamil Nadu,PERAMBALUR,2,3460000.0,1570000.0,0.0,0.0,6.92,9.85,0,0,0,0.0,Low
RAVI SHANKAR PRASAD,Ravi Shankar Prasad,Bihar,PATNA SAHIB,1,68653.0,68653.0,0.0,0.0,6.88,6.88,0,0,0,0.0,Low
SANATAN PANDEY,SANATAN PANDEY,Uttar Pradesh,BALLIA,2,0.0,906470.0,216409.0,0.0,6.845000000000001,11.57,0,0,0,23.873818217922267,Low
DURGA DAS UIKEY,Durga Das Uikey,Madhya Pradesh,BETUL(ST),2,0.0,381092.0,75000.0,0.0,6.845,12.33,0,0,0,19.680287174750454,Low
SHRI VIJAYAKUMAR VASANTH,Shri vijayakumar Vasanth,Tamil Nadu,KANNIYAKUMARI,2,3500000.0,2500000.0,0.0,0.0,6.710000000000001,9.21,0,0,0,0.0,Low
AWADHESH PRASAD,AWADHESH PRASAD,Uttar Pradesh,FAIZABAD,1,2538520.0,918944.0,0.0,0.0,6.58,6.58,0,0,0,0.0,Low
VIJAY KUMAR DUBEY,Vijay Kumar Dubey,Uttar Pradesh,KUSHI NAGAR,3,472468.0,1433513.0,0.0,0.0,6.456666666666667,13.82,0,0,1,0.0,Low
BRIJMOHAN AGRAWAL,BRIJMOHAN AGRAWAL,Chhattisgarh,RAIPUR,2,1000000.0,1000000.0,802008.0,302008.0,6.43,10.12,0,0,1,80.2008,Low
SHRI HIBI EDEN,Shri Hibi Eden,Kerala,ERNAKULAM,2,1676035.0,1676035.0,0.0,0.0,6.275,9.67,0,0,0,0.0,Low
AZAD KIRTI JHA,AZAD KIRTI JHA,West Bengal,BARDHAMAN-DURGAPUR,2,0.0,1281205.0,398628.0,0.0,5.93,10.24,0,0,0,31.113522035895897,Low
PARTHA BHOWMICK,PARTHA BHOWMICK,West Bengal,BARRACKPUR,1,700000.0,700000.0,0.0,0.0,5.91,5.91,0,0,0,0.0,Low
AKSHAYA YADAV,AKSHAYA YADAV,Uttar Pradesh,FIROZABAD,1,1898082.0,1898082.0,0.0,0.0,5.91,5.91,0,0,0,0.0,Low
RAHUL SINGH LODHI,RAHUL SINGH LODHI,Madhya Pradesh,DAMOH,1,1800000.0,198723.0,0.0,0.0,5.83,5.83,0,0,0,0.0,Low
PATHAN YUSUF,PATHAN YUSUF,West Bengal,BAHARAMPUR,1,0.0,2000000.0,0.0,0.0,5.82,5.82,0,0,0,0.0,Low
SUDHAKAR SINGH,SUDHAKAR SINGH,Bihar,BUXAR,2,2323370.0,1971228.0,0.0,0.0,5.695,8.5,0,0,0,0.0,Low
PRASUN BANERJEE,Prasun Banerjee,West Bengal,HOWRAH,1,0.0,2500000.0,0.0,0.0,5.68,5.68,0,0,0,0.0,Low
JAGANNATH SARKAR,Jagannath Sarkar,West Bengal,RANAGHAT(SC),2,0.0,1306488.0,793627.0,279545.0,5.68,9.49,0,0,1,60.745066162107875,Low
MANJU SHARMA,MANJU SHARMA,Rajasthan,JAIPUR,1,2500000.0,500000.0,0.0,0.0,5.6,5.6,0,0,0,0.0,Low
SHRI HANUMAN BENIWAL,Shri Hanuman Beniwal,Rajasthan,NAGAUR,1,64000.0,400000.0,0.0,0.0,5.51,5.51,0,0,0,0.0,Low
SHER SINGH GHUBAYA,SHER SINGH GHUBAYA,Punjab,FIROZPUR,1,232532.0,232532.0,0.0,0.0,5.43,5.43,0,0,0,0.0,Low
MADHAVANENI RAGHUNANDAN RAO,MADHAVANENI RAGHUNANDAN RAO,Telangana,MEDAK,2,1250000.0,1500000.0,0.0,0.0,5.365,10.19,0,0,0,0.0,Low
CHANDRA SHEKHAR,CHANDRA SHEKHAR,Uttar Pradesh,NAGINA(SC),1,1935889.0,1670509.0,0.0,0.0,5.21,5.21,0,0,0,0.0,Low
DR DHARAMVIRA GANDHI,DR DHARAMVIRA GANDHI,Punjab,PATIALA,1,80000.0,80000.0,0.0,0.0,5.12,5.12,0,0,0,0.0,Low
RACHNA BANERJEE,RACHNA BANERJEE,West Bengal,HOOGHLY,2,1616395.0,1616395.0,0.0,0.0,5.12,6.3,0,0,0,0.0,Low
S JAGATHRAKSHAKAN,S. Jagathrakshakan,Tamil Nadu,ARAKKONAM,1,999654.0,996610.0,0.0,0.0,5.11,5.11,0,0,0,0.0,Low
SMT POONAMBEN HEMATBHAI MAADAM,Smt Poonamben Hematbhai Maadam,Gujarat,JAMNAGAR,1,0.0,298400.0,0.0,0.0,5.06,5.06,0,0,0,0.0,Low
MUKESH RAJPUT,Mukesh Rajput,Uttar Pradesh,FARRUKHABAD,1,0.0,222921.0,0.0,0.0,4.98,4.98,0,0,0,0.0,Low
RAJESHBHAI NARANBHAI CHUDASAMA,Rajeshbhai Naranbhai Chudasama,Gujarat,JUNAGADH,1,0.0,300000.0,0.0,0.0,4.9,4.9,0,0,0,0.0,Low
NITIN JAIRAM GADKARI,Nitin Jairam Gadkari,Maharashtra,NAGPUR,1,458593.0,458593.0,0.0,0.0,4.72,4.72,0,0,0,0.0,Low
SHRI LS TEJASVI SURYA,Shri LS Tejasvi Surya,Karnataka,BANGALORE SOUTH,2,999500.0,2499434.0,0.0,0.0,4.675000000000001,4.94,0,0,0,0.0,Low
VISHWESHWAR HEGDE KAGERI,VISHWESHWAR HEGDE KAGERI,Karnataka,UTTARA KANNADA,2,0.0,1500000.0,525000.0,0.0,4.6499999999999995,9.12,0,0,0,35.0,Low
MANOJ TIWARI,Manoj Tiwari,Delhi,NORTH EAST DELHI,1,0.0,898145.0,0.0,0.0,4.61,4.61,0,0,0,0.0,Low
RAM PRASAD CHAUDHARY,RAM PRASAD CHAUDHARY,Uttar Pradesh,BASTI,1,0.0,1410100.0,0.0,0.0,4.53,4.53,0,0,0,0.0,Low
DR RAJ KUMAR CHABBEWAL,DR. RAJ KUMAR CHABBEWAL,Punjab,HOSHIARPUR(SC),1,200000.0,200000.0,0.0,0.0,4.39,4.39,0,0,0,0.0,Low
ROOP KUMARI CHOUDHARY,ROOP KUMARI CHOUDHARY,Chhattisgarh,MAHASAMUND,1,500000.0,250000.0,0.0,0.0,4.37,4.37,0,0,0,0.0,Low
D RAVIKUMAR,D Ravikumar,Tamil Nadu,VILUPPURAM(SC),1,800000.0,600000.0,0.0,0.0,4.37,4.37,0,0,0,0.0,Low
DILESHWAR KAMAIT,Dileshwar Kamait,Bihar,SUPAUL,2,2634593.0,2383770.0,0.0,0.0,4.13,5.2,0,0,0,0.0,Low
AMRARAM,AMRARAM,Rajasthan,SIKAR,1,0.0,290931.0,0.0,0.0,4.04,4.04,0,0,0,0.0,Low
SHASHANK MANI,SHASHANK MANI,Uttar Pradesh,DEORIA,1,968898.0,996628.0,0.0,0.0,4.02,4.02,0,0,0,0.0,Low
DR SUKANTA MAJUMDAR,Dr Sukanta Majumdar,West Bengal,BALURGHAT,1,300000.0,300000.0,0.0,0.0,3.86,3.86,0,0,0,0.0,Low
RADHA MOHAN SINGH,Radha Mohan Singh,Bihar,PURVI CHAMPARAN,1,1479192.0,1482448.0,0.0,0.0,3.78,3.78,0,0,0,0.0,Low
THALIKKOTTAI RAJUTHEVAR BAALU,Thalikkottai Rajuthevar Baalu,Tamil Nadu,SRIPERUMBUDUR,2,0.0,2949583.0,0.0,0.0,3.7,4.09,0,0,0,0.0,Low
SHRI TAPIR GAO,Shri Tapir Gao,Arunachal Pradesh,ARUNACHAL EAST,2,2000000.0,3200000.0,0.0,0.0,3.63,4.11,0,0,0,0.0,Low
SANJNA JATAV,SANJNA JATAV,Rajasthan,BHARATPUR(SC),1,500000.0,300000.0,0.0,0.0,3.6,3.6,0,0,0,0.0,Low
DAGGUMALLA PRASADA RAO,DAGGUMALLA PRASADA RAO,Andhra Pradesh,CHITTOOR,1,350000.0,500000.0,0.0,0.0,3.51,3.51,0,0,0,0.0,Low
AMOL RAMSING KOLHE,Amol Ramsing Kolhe,Maharashtra,SHIRUR,3,499493.0,2499187.0,0.0,0.0,3.5066666666666664,8.18,0,0,0,0.0,Low
JYOTIRADITYA M SCINDIA,JYOTIRADITYA M. SCINDIA,Madhya Pradesh,GUNA,1,585000.0,321000.0,0.0,0.0,3.45,3.45,0,0,0,0.0,Low
SHRI ANIL FIROJIYA,Shri Anil Firojiya,Madhya Pradesh,UJJAIN(SC),1,0.0,100000.0,0.0,0.0,3.43,3.43,0,0,0,0.0,Low
KANWAR SINGH TANWAR,KANWAR SINGH TANWAR,Uttar Pradesh,AMROHA,1,0.0,1492916.0,0.0,0.0,3.41,3.41,0,0,0,0.0,Low
DEVUSINH JESINGBHAI CHAUHAN,Devusinh Jesingbhai Chauhan,Gujarat,KHEDA,1,0.0,450000.0,0.0,0.0,3.38,3.38,0,0,0,0.0,Low
BUNTY VIVEK SAHU,BUNTY VIVEK SAHU,Madhya Pradesh,CHHINDWARA,1,0.0,100000.0,0.0,0.0,3.25,3.25,0,0,0,0.0,Low
ADHIKARI SOUMENDU,ADHIKARI SOUMENDU,West Bengal,KANTHI,2,0.0,3689724.0,0.0,0.0,3.235,4.79,0,0,0,0.0,Low
ANOOP PRADHAN BALMIKI,ANOOP PRADHAN BALMIKI,Uttar Pradesh,HATHRAS (SC),1,0.0,1942383.0,0.0,0.0,3.23,3.23,0,0,0,0.0,Low
R K CHAUDHARY,R.K. CHAUDHARY,Uttar Pradesh,MOHANLALGANJ(SC),1,0.0,107985.0,0.0,0.0,2.94,2.94,0,0,0,0.0,Low
SMT HIMADRI SINGH,Smt Himadri Singh,Madhya Pradesh,SHAHDOL (ST),1,1499800.0,1000000.0,0.0,0.0,2.93,2.93,0,0,0,0.0,Low
VIJAYLAKSHMI DEVI,VIJAYLAKSHMI DEVI,Bihar,SIWAN,2,998018.0,1951000.0,0.0,0.0,2.9050000000000002,4.23,0,0,0,0.0,Low
SANJAY UTTAMRAO DESHMUKH,Sanjay Uttamrao Deshmukh,Maharashtra,YAVATMAL-WASHIM,1,500000.0,500000.0,0.0,0.0,2.85,2.85,0,0,0,0.0,Low
SHRIRANG APPA BARNE,Shrirang Appa Barne,Maharashtra,MAVAL,2,1992236.0,1992236.0,0.0,0.0,2.765,4.78,0,0,0,0.0,Low
RAJKUMAR CHAHAR,Rajkumar Chahar,Uttar Pradesh,FATEHPUR SIKRI,1,248596.0,248833.0,0.0,0.0,2.73,2.73,0,0,0,0.0,Low
DAMODAR AGARWAL,DAMODAR AGARWAL,Rajasthan,BHILWARA,1,0.0,492788.0,0.0,0.0,2.73,2.73,0,0,0,0.0,Low
MOHIBBULLAH,MOHIBBULLAH,Uttar Pradesh,RAMPUR,1,586039.0,200502.0,0.0,0.0,2.73,2.73,0,0,0,0.0,Low
MAHESH SHARMA,Mahesh Sharma,Uttar Pradesh,GAUTAM BUDDHA NAGAR,1,906023.0,906023.0,0.0,0.0,2.71,2.71,0,0,0,0.0,Low
BACHHAV SHOBHA DINESH,BACHHAV SHOBHA DINESH,Maharashtra,DHULE,1,1000000.0,1000000.0,0.0,0.0,2.68,2.68,0,0,0,0.0,Low
KALI CHARAN MUNDA,KALI CHARAN MUNDA,Jharkhand,KHUNTI(ST),1,200000.0,500000.0,0.0,0.0,2.65,2.65,0,0,0,0.0,Low
ATUL GARG,ATUL GARG,Uttar Pradesh,GHAZIABAD,1,0.0,988479.0,0.0,0.0,2.64,2.64,0,0,0,0.0,Low
OM BIRLA,Om Birla,Rajasthan,KOTA,1,998893.0,500000.0,0.0,0.0,2.6,2.6,0,0,0,0.0,Low
LAVU SRI KRISHNA DEVARAYALU,Lavu Sri Krishna Devarayalu,Andhra Pradesh,NARASARAOPET,1,416758.0,416758.0,0.0,0.0,2.6,2.6,0,0,0,0.0,Low
KARAN BHUSHAN SINGH,KARAN BHUSHAN SINGH,Uttar Pradesh,KAISERGANJ,1,1039280.0,700000.0,0.0,0.0,2.59,2.59,0,0,0,0.0,Low
ARVIND GANPAT SAWANT,Arvind Ganpat Sawant,Maharashtra,MUMBAI SOUTH,2,0.0,3295410.0,0.0,0.0,2.555,3.56,0,0,0,0.0,Low
NARAYAN DAS AHIRWAR,NARAYAN DAS AHIRWAR,Uttar Pradesh,JALAUN(SC),2,454299.0,481871.64,0.0,0.0,2.545,3.58,0,0,0,0.0,Low
SANJAY HARIBHAU JADHAV,Sanjay Haribhau Jadhav,Maharashtra,PARBHANI,2,1200000.0,1699154.0,0.0,0.0,2.53,3.36,0,0,0,0.0,Low
ANURAG SHARMA,Anurag Sharma,Uttar Pradesh,JHANSI,1,498365.0,224200.0,0.0,0.0,2.52,2.52,0,0,0,0.0,Low
NALIN SOREN,NALIN SOREN,Jharkhand,DUMKA(ST),1,300000.0,300000.0,0.0,0.0,2.5,2.5,0,0,0,0.0,Low
KRISHNA DEVI SHIVSHANKER PATEL,KRISHNA DEVI SHIVSHANKER PATEL,Uttar Pradesh,BANDA,1,999000.0,226698.0,0.0,0.0,2.48,2.48,0,0,0,0.0,Low
MALVIKA DEVI,MALVIKA DEVI,Odisha,KALAHANDI,1,500000.0,200000.0,0.0,0.0,2.37,2.37,0,0,0,0.0,Low
PROF SP SINGH BAGHEL,Prof SP Singh Baghel,Uttar Pradesh,AGRA(SC),1,264075.0,264075.0,0.0,0.0,2.22,2.22,0,0,0,0.0,Low
T SUMATHY A THAMIZHACHI THANGAPANDIAN,T Sumathy (A) Thamizhachi Thangapandian,Tamil Nadu,CHENNAI SOUTH,1,0.0,1600000.0,0.0,0.0,2.12,2.12,0,0,0,0.0,Low
S SUPONGMEREN JAMIR,S SUPONGMEREN JAMIR,Nagaland,NAGALAND,1,1087620.0,300000.0,0.0,0.0,2.12,2.12,0,0,0,0.0,Low
SHIVMANGAL SINGH TOMAR,SHIVMANGAL SINGH TOMAR,Madhya Pradesh,MORENA,1,800000.0,800000.0,0.0,0.0,2.07,2.07,0,0,0,0.0,Low
GUMMA THANUJA RANI,Gumma Thanuja Rani,Andhra Pradesh,ARAKU(ST),1,0.0,1394400.0,0.0,0.0,1.98,1.98,0,0,0,0.0,Low
SAVITRI THAKUR,SAVITRI THAKUR,Madhya Pradesh,DHAR(ST),1,0.0,166026.0,0.0,0.0,1.96,1.96,0,0,0,0.0,Low
SMITA UDAY WAGH,SMITA UDAY WAGH,Maharashtra,JALGAON,2,0.0,2998933.0,0.0,0.0,1.785,3.17,0,0,0,0.0,Low
SACHITHANANTHAM R,SACHITHANANTHAM R,Tamil Nadu,DINDIGUL,1,1483160.0,1000000.0,0.0,0.0,1.78,1.78,0,0,0,0.0,Low
C R PATIL,C R Patil,Gujarat,NAVSARI,1,500000.0,500000.0,0.0,0.0,1.71,1.71,0,0,0,0.0,Low
DR MOHAMMAD JAWED,Dr Mohammad Jawed,Bihar,KISHANGANJ,2,0.0,1270000.0,0.0,0.0,1.62,1.62,0,0,0,0.0,Low
SANJAY SETH,Sanjay Seth,Jharkhand,RANCHI,1,0.0,255800.0,0.0,0.0,1.6,1.6,0,0,0,0.0,Low
MALA ROY,Mala Roy,West Bengal,KOLKATA DAKSHIN,1,0.0,1449042.0,0.0,0.0,1.6,1.6,0,0,0,0.0,Low
BIJULI KALITA MEDHI,BIJULI KALITA MEDHI,Assam,GUWAHATI,2,1300000.0,1300000.0,0.0,0.0,1.5750000000000002,2.47,0,0,0,0.0,Low
SALENG A SANGMA,SALENG A SANGMA,Meghalaya,TURA,1,1000000.0,1000000.0,0.0,0.0,1.49,1.49,0,0,0,0.0,Low
HARSH MALHOTRA,Harsh Malhotra,Delhi,EAST DELHI,1,0.0,668063.0,0.0,0.0,1.48,1.48,0,0,0,0.0,Low
CHANDRA PRAKASH JOSHI,Chandra Prakash Joshi,Rajasthan,CHITTORGARH,1,400000.0,400000.0,0.0,0.0,1.47,1.47,0,0,0,0.0,Low
ASHOK KUMAR YADAV,Ashok Kumar Yadav,Bihar,MADHUBANI,2,0.0,990000.0,0.0,0.0,1.22,2.44,0,0,0,0.0,Low
PROF SOUGATA RAY,Prof Sougata Ray,West Bengal,DUM DUM,1,0.0,1000000.0,0.0,0.0,1.21,1.21,0,0,0,0.0,Low
ARUN GOVIL,ARUN GOVIL,Uttar Pradesh,MEERUT,1,967230.0,967230.0,0.0,0.0,1.11,1.11,0,0,0,0.0,Low
BRIJENDRA SINGH OLA,BRIJENDRA SINGH OLA,Rajasthan,JHUNJHUNU,1,0.0,1000000.0,0.0,0.0,1.0,1.0,0,0,0,0.0,Low
VINOD CHAVDA,Vinod Chavda,Gujarat,KACHCHH(SC),1,500000.0,500000.0,0.0,0.0,0.99,0.99,0,0,0,0.0,Low
SWAMI SACHCHIDANANDHARI SAKSHI JI MAHARAJ,Swami Sachchidanandhari Sakshi ji Maharaj,Uttar Pradesh,UNNAO,1,848185.0,1066257.0,0.0,0.0,0.97,0.97,0,0,0,0.0,Low
DR HEMANG JOSHI,DR. HEMANG JOSHI,Gujarat,VADODARA,1,0.0,625000.0,0.0,0.0,0.86,0.86,0,0,0,0.0,Low
MANOJ KUMAR,MANOJ KUMAR,Bihar,SASARAM(SC),1,889391.0,700000.0,0.0,0.0,0.73,0.73,0,0,0,0.0,Low
TARIQ ANWAR,TARIQ ANWAR,Bihar,KATIHAR,1,0.0,994740.0,0.0,0.0,0.67,0.67,0,0,0,0.0,Low
PARSHOTTAMBHAI RUPALA,PARSHOTTAMBHAI RUPALA,Gujarat,RAJKOT,2,800000.0,1138978.0,0.0,0.0,0.165,0.33,0,0,0,0.0,Low
CHHATRA PAL SINGH GANGWAR,CHHATRA PAL SINGH GANGWAR,Uttar Pradesh,BAREILLY,1,0.0,683234.0,0.0,0.0,0.15,0.15,0,0,0,0.0,Low
RAKESH RATHOR,RAKESH RATHOR,Uttar Pradesh,SITAPUR,2,0.0,1731818.0,0.0,0.0,0.095,0.19,0,0,0,0.0,Low
PRIYANKA SATISH JARKIHOLI,PRIYANKA SATISH JARKIHOLI,Karnataka,CHIKKODI,1,0.0,800000.0,0.0,0.0,0.09,0.09,0,0,0,0.0,Low
RAJESH VERMA,RAJESH VERMA,Bihar,KHAGARIA,2,0.0,1962059.0,0.0,0.0,0.0,0.0,0,0,0,0.0,Low
