mp_key,mp_name,state,constituency,projects_analyzed,total_recommended,total_sanctioned,total_expenditure,total_cost_overrun,average_risk_score,max_risk_score,high_risk_projects,critical_projects,anomaly_projects,utilization_pct,risk_category
LALJI VERMA,LALJI VERMA,Uttar Pradesh,AMBEDKAR NAGAR,2,500000.0,1000000.0,4741067.0,4241067.0,32.004999999999995,41.91,0,0,1,474.1067,Medium
DR SHARMILA SARKAR,DR. SHARMILA SARKAR,West Bengal,BARDHAMAN PURBA(SC),2,0.0,4641916.0,4653921.0,3326089.0,31.305,34.91,0,0,2,100.25862165536816,Medium
VAITHILINGAM VE,Vaithilingam Ve,Puducherry,Puducherry,3,0.0,7600000.0,5732781.0,2902914.0,30.326666666666664,36.5,0,0,1,75.43132894736843,Medium
SK NURUL ISLAM,SK NURUL ISLAM,West Bengal,BASIRHAT,6,8742500.0,5750000.0,0.0,0.0,29.711666666666662,42.51,0,0,1,0.0,Low
RODMAL NAGAR,Rodmal Nagar,Madhya Pradesh,RAJGARH,2,2740988.0,16277075.0,0.0,0.0,29.505000000000003,43.96,0,0,0,0.0,Low
P C MOHAN,P C Mohan,Karnataka,BANGALORE CENTRAL,1,4739506.0,4739506.0,0.0,0.0,29.21,29.21,0,0,0,0.0,Low
MALVINDER SINGH KANG,MALVINDER SINGH KANG,Punjab,ANANDPUR SAHIB,1,700000.0,500000.0,503751.0,3751.0,27.94,27.94,0,0,1,100.75019999999999,Low
AJENDRA SINGH LODHI,AJENDRA SINGH LODHI,Uttar Pradesh,HAMIRPUR_UP,2,700000.0,1400000.0,5326879.0,4926879.0,27.59,43.58,0,0,1,380.49135714285717,Low
KANIMOZHI KARUNANIDHI,Kanimozhi Karunanidhi,Tamil Nadu,THOOTHUKKUDI,3,0.0,8748954.0,4930818.0,1930818.0,27.49,39.99,0,0,1,56.358943023360276,Low
SHRI KARTI P CHIDAMBARAM,Shri Karti P Chidambaram,Tamil Nadu,SIVAGANGA,2,350000.0,10499714.0,0.0,0.0,27.015,37.46,0,0,0,0.0,Low
ARVIND DHARMAPURI,Arvind Dharmapuri,Telangana,NIZAMABAD,3,1295000.0,1095000.0,2290112.0,1540112.0,26.570000000000004,38.1,0,0,1,209.14264840182648,Low
MALA RAJYA LAXMI SHAH,Mala Rajya Laxmi Shah,Uttarakhand,TEHRI GARHWAL,1,0.0,2498299.0,239085.0,0.0,26.21,26.21,0,0,0,9.56991136769458,Low
RAO INDERJIT SINGH,Rao Inderjit Singh,Haryana,GURGAON,3,1500000.0,3999118.0,3594646.0,3194646.0,25.53,27.66,0,0,1,89.88596985635333,Low
Y S AVINASH REDDY,Y S Avinash Reddy,Andhra Pradesh,KADAPA,2,478000.0,2947908.0,2448989.0,1888754.0,25.3,32.42,0,0,1,83.07548946574995,Low
ASIT KUMAR MAL,Asit Kumar Mal,West Bengal,BOLPUR(SC),2,1514828.0,2497453.0,3831301.0,2331301.0,25.285,35.2,0,0,1,153.40833240905835,Low
CHINTAMANI MAHARAJ,CHINTAMANI MAHARAJ,Chhattisgarh,SARGUJA(ST),1,1000000.0,1000000.0,249749.0,0.0,24.44,24.44,0,0,1,24.974899999999998,Low
ADV DEAN KURIAKOSE,Adv Dean Kuriakose,Kerala,IDUKKI,2,423445.0,423445.0,3901042.0,3685546.0,24.155,36.54,0,0,1,921.262973939945,Low
SHRI SURESH KODIKUNNIL,Shri Suresh Kodikunnil,Kerala,MAVELIKKARA(SC),2,212242.0,3654595.0,1799589.0,38596.0,24.13,25.52,0,0,1,49.241817492772796,Low
KAKOLI GHOSH DASTIDAR,Kakoli Ghosh Dastidar,West Bengal,BARASAT,4,2991032.0,13589911.0,0.0,0.0,24.009999999999998,45.79,0,0,0,0.0,Low
DARSHAN SINGH CHOUDHARY,DARSHAN SINGH CHOUDHARY,Madhya Pradesh,HOSHANGABAD,1,0.0,105000.0,831020.0,726020.0,23.94,23.94,0,0,1,791.4476190476191,Low
JAI PRAKASH,Jai Prakash,Uttar Pradesh,HARDOI (SC),1,4022832.0,4022832.0,0.0,0.0,23.81,23.81,0,0,0,0.0,Low
SHOBHANABEN MAHENDRASINH BARAIYA,SHOBHANABEN MAHENDRASINH BARAIYA,Gujarat,SABARKANTHA,2,1000000.0,1100000.0,3700000.0,2600000.0,23.619999999999997,26.47,0,0,2,336.3636363636364,Low
SHANKAR LALWANI,Shankar Lalwani,Madhya Pradesh,INDORE,1,0.0,250000.0,1408491.0,1158491.0,23.36,23.36,0,0,1,563.3964,Low
ABHIJIT GANGOPADHYAY,ABHIJIT GANGOPADHYAY,West Bengal,TAMLUK,2,1297917.0,600000.0,4221728.0,3721728.0,23.2,32.46,0,0,1,703.6213333333334,Low
JASWANTSINH SUMANBHAI BHABHOR,Jaswantsinh Sumanbhai Bhabhor,Gujarat,DAHOD(ST),5,3850000.0,3800000.0,4660843.0,3960843.0,23.080000000000002,39.53,0,0,2,122.65376315789473,Low
ANDIMUTHU RAJA,Andimuthu Raja,Tamil Nadu,NILGIRIS(SC),2,2600000.0,1899920.0,3482790.0,2082847.0,23.02,36.07,0,0,1,183.31245526127415,Low
ABU TAHER KHAN,Abu Taher Khan,West Bengal,MURSHIDABAD,1,1500000.0,1500000.0,1731974.0,231974.0,22.69,22.69,0,0,1,115.46493333333333,Low
ANUP SANJAY DHOTRE,ANUP SANJAY DHOTRE,Maharashtra,AKOLA,2,1483603.0,1483603.0,4899036.0,3899036.0,22.335,37.69,0,0,1,330.21205807753154,Low
DEEPENDER SINGH HOODA,DEEPENDER SINGH HOODA,Haryana,ROHTAK,3,1597821.0,3700000.0,3937411.0,2963324.0,22.08666666666667,28.58,0,0,3,106.41651351351351,Low
PRATIMA MONDAL,Pratima Mondal,West Bengal,JOYNAGAR(SC),2,948873.0,1449801.0,874827.0,90657.0,21.4,21.52,0,0,2,60.34117785820261,Low
ESWARASAMY K,ESWARASAMY K,Tamil Nadu,POLLACHI,3,0.0,2248805.0,6281543.0,4532738.0,21.153333333333332,34.33,0,0,2,279.32804311623283,Low
INDRA HANG SUBBA,Indra Hang Subba,Sikkim,SIKKIM,1,3000000.0,5000000.0,0.0,0.0,21.14,21.14,0,0,0,0.0,Low
MURASOLI S,MURASOLI S,Tamil Nadu,THANJAVUR,2,2679811.0,2679448.0,2724837.0,46272.0,21.085,22.48,0,0,1,101.6939683098907,Low
PRADYUT BORDOLOI,Pradyut Bordoloi,Assam,NOWGONG,3,600000.0,600000.0,467686.0,79840.0,20.613333333333333,30.52,0,0,2,77.94766666666668,Low
SMT HARSIMRAT KAUR BADAL,Smt Harsimrat Kaur Badal,Punjab,BHATINDA,1,65000.0,400000.0,150000.0,0.0,20.35,20.35,0,0,0,37.5,Low
HASMUKH BHAI SOMA BHAI PATEL,Hasmukh Bhai Soma Bhai Patel,Gujarat,AHMEDABAD EAST,1,1000000.0,1000000.0,337854.0,0.0,20.3,20.3,0,0,0,33.785399999999996,Low
SHRI BENNY BEHANAN,Shri Benny Behanan,Kerala,CHALAKUDY,2,0.0,5757000.0,2118993.0,0.0,20.105,30.53,0,0,1,36.80724335591454,Low
CHAMALA KIRAN KUMAR REDDY,CHAMALA KIRAN KUMAR REDDY,Telangana,BHONGIR,2,0.0,200000.0,1500000.0,1400000.0,19.705,27.48,0,0,1,750.0,Low
RAMESH AWASTHI,RAMESH AWASTHI,Uttar Pradesh,KANPUR,1,3831541.0,3831541.0,0.0,0.0,19.66,19.66,0,0,0,0.0,Low
SMT RAKSHA NIKHIL KHADSE,Smt Raksha Nikhil Khadse,Maharashtra,RAVER,1,2999928.0,2999928.0,0.0,0.0,19.6,19.6,0,0,0,0.0,Low
DR KALGE SHIVAJI BANDAPPA,DR KALGE SHIVAJI BANDAPPA,Maharashtra,LATUR(SC),3,4486755.0,3091677.0,3585791.0,2791687.0,19.396666666666665,38.35,0,0,1,115.98207057205524,Low
EATALA RAJENDER,EATALA RAJENDER,Telangana,MALKAJGIRI,2,1500000.0,1800000.0,2314711.0,1314711.0,19.095,24.31,0,0,1,128.59505555555555,Low
VIJAY BAGHEL,Vijay Baghel,Chhattisgarh,DURG,1,1000000.0,1000000.0,200000.0,0.0,19.07,19.07,0,0,0,20.0,Low
PUTTA MAHESH KUMAR,Putta Mahesh Kumar,Andhra Pradesh,ELURU,3,800000.0,4004000.0,3534081.0,2036908.0,18.923333333333332,28.95,0,0,1,88.26376123876123,Low
KAMLESH JANGDE,KAMLESH JANGDE,Chhattisgarh,JANJGIR CHAMPA(SC),2,749989.0,650000.0,2064285.0,1814285.0,18.735,31.26,0,0,1,317.5823076923077,Low
JAGADISH CHANDRA BARMA BASUNIA,JAGADISH CHANDRA BARMA BASUNIA,West Bengal,COOCHBEHAR(SC),4,10184723.0,10184723.0,0.0,0.0,18.595,35.63,0,0,0,0.0,Low
M K VISHNUPRASAD,M.K. VISHNUPRASAD,Tamil Nadu,CUDDALORE,1,0.0,450000.0,1899126.0,1449126.0,18.32,18.32,0,0,1,422.02799999999996,Low
VIRENDRA KUMAR,Virendra Kumar,Madhya Pradesh,TIKAMGARH(SC),2,0.0,1449039.0,4232391.0,2928574.0,18.32,24.11,0,0,1,292.08261475364014,Low
RAJEEV BHARDWAJ,RAJEEV BHARDWAJ,Himachal Pradesh,KANGRA,2,0.0,300000.0,1343341.0,1243341.0,17.885,27.82,0,0,1,447.7803333333333,Low
KOTA SRINIVAS POOJARY,KOTA SRINIVAS POOJARY,Karnataka,UDUPI CHIKMAGALUR,3,0.0,1298517.0,4893912.0,4093912.0,17.796666666666667,28.5,0,0,2,376.88470770887096,Low
FAGGAN SINGH KULASTE,Faggan Singh Kulaste,Madhya Pradesh,MANDLA(ST),2,0.0,2000000.0,4541000.0,3541000.0,17.29,29.14,0,0,1,227.05,Low
SUDIP BANDYOPADHYAY,Sudip Bandyopadhyay,West Bengal,KOLKATA UTTAR,1,0.0,5000000.0,0.0,0.0,17.12,17.12,0,0,0,0.0,Low
