constituency,budget,expenditure,projects,utilization_pct
ERODE,2300000.0,400000.0,2,17.391304347826086
BARDHAMAN-DURGAPUR,1281205.0,398628.0,2,31.113522035895897
FARIDKOT(SC),500000.0,390894.0,2,78.17880000000001
LAKHIMPUR,2000000.0,350377.0,2,17.51885
AHMEDABAD EAST,1000000.0,337854.0,1,33.785399999999996
RAE BARELI,500000.0,331291.0,1,66.2582
BARDOLI(ST),1767000.0,250000.0,3,14.148273910582908
SARGUJA(ST),1000000.0,249749.0,1,24.974899999999998
BIRBHUM,780089.0,249653.0,2,32.003143231092864
TEHRI GARHWAL,2498299.0,239085.0,1,9.56991136769458
BALLIA,906470.0,216409.0,2,23.873818217922267
DURG,1000000.0,200000.0,1,20.0
KARUR,137500.0,199966.0,1,145.42981818181818
ROBERTSGANJ(SC),432999.0,182650.0,2,42.18254545622507
ALAPPUZHA,4658334.0,154707.0,4,3.321080025605721
BHATINDA,400000.0,150000.0,1,37.5
MUZAFFARNAGAR,2185000.0,105478.0,2,4.827368421052632
BETUL(ST),381092.0,75000.0,2,19.680287174750454
NORTH GOA,2500000.0,61425.0,1,2.4570000000000003
BISHNUPUR(SC),649868.0,0.0,1,0.0
BAHARAMPUR,2000000.0,0.0,1,0.0
BUXAR,1971228.0,0.0,2,0.0
SUPAUL,2383770.0,0.0,2,0.0
SRIPERUMBUDUR,2949583.0,0.0,2,0.0
ARUNACHAL EAST,3200000.0,0.0,2,0.0
ASANSOL,7496000.0,0.0,2,0.0
ALATHUR(SC),2871509.0,0.0,1,0.0
TURA,1000000.0,0.0,1,0.0
UJJAIN(SC),100000.0,0.0,1,0.0
SIVAGANGA,10499714.0,0.0,2,0.0
SIWAN,1951000.0,0.0,2,0.0
SOLAPUR(SC),499880.0,0.0,1,0.0
KANNIYAKUMARI,2500000.0,0.0,2,0.0
KANCHEEPURAM(SC),2248588.0,0.0,2,0.0
KALAHANDI,200000.0,0.0,1,0.0
KAISERGANJ,700000.0,0.0,1,0.0
JUNAGADH,300000.0,0.0,1,0.0
KACHCHH(SC),500000.0,0.0,1,0.0
JHUNJHUNU,1000000.0,0.0,1,0.0
JHARGRAM(ST),5930740.0,0.0,2,0.0
JAMNAGAR,298400.0,0.0,1,0.0
JHANSI,224200.0,0.0,1,0.0
JHANJHARPUR,200000.0,0.0,1,0.0
HOOGHLY,1616395.0,0.0,2,0.0
HOWRAH,2500000.0,0.0,1,0.0
JAIPUR,500000.0,0.0,1,0.0
JALAUN(SC),481871.64,0.0,2,0.0
JALGAON,2998933.0,0.0,2,0.0
GAUTAM BUDDHA NAGAR,906023.0,0.0,1,0.0
GHAZIABAD,988479.0,0.0,1,0.0
GUWAHATI,1300000.0,0.0,2,0.0
GUNA,321000.0,0.0,1,0.0
HARDOI (SC),4022832.0,0.0,1,0.0
HOSHIARPUR(SC),200000.0,0.0,1,0.0
HATHRAS (SC),1942383.0,0.0,1,0.0
DHULE,1000000.0,0.0,1,0.0
ERNAKULAM,1676035.0,0.0,2,0.0
EAST DELHI,668063.0,0.0,1,0.0
DUMKA(ST),300000.0,0.0,1,0.0
FAIZABAD,918944.0,0.0,1,0.0
FARRUKHABAD,222921.0,0.0,1,0.0
FATEHPUR SIKRI,248833.0,0.0,1,0.0
FIROZABAD,1898082.0,0.0,1,0.0
FIROZPUR,232532.0,0.0,1,0.0
CHHINDWARA,100000.0,0.0,1,0.0
CHENNAI SOUTH,1600000.0,0.0,1,0.0
CHENNAI NORTH,10000000.0,0.0,1,0.0
CHENNAI CENTRAL,10000000.0,0.0,1,0.0
CHITTORGARH,400000.0,0.0,1,0.0
CHITTOOR,500000.0,0.0,1,0.0
COOCHBEHAR(SC),10184723.0,0.0,4,0.0
DHAURAHRA,1000000.0,0.0,1,0.0
DEORIA,996628.0,0.0,1,0.0
DINDIGUL,1000000.0,0.0,1,0.0
DUM DUM,1000000.0,0.0,1,0.0
CHIKKODI,800000.0,0.0,1,0.0
DHAR(ST),166026.0,0.0,1,0.0
DAMOH,198723.0,0.0,1,0.0
ALWAR,1200000.0,0.0,1,0.0
TIRUPPUR,7630059.0,0.0,4,0.0
ARARIA,2475000.0,0.0,1,0.0
ARANI,956670.0,0.0,2,0.0
UNNAO,1066257.0,0.0,1,0.0
KURNOOL,2998485.0,0.0,1,0.0
BASTI,1410100.0,0.0,1,0.0
BASIRHAT,5750000.0,0.0,6,0.0
BHILWARA,492788.0,0.0,1,0.0
KANTHI,3689724.0,0.0,2,0.0
KHARGONE(ST),1900000.0,0.0,2,0.0
KOTA,500000.0,0.0,1,0.0
BHARATPUR(SC),300000.0,0.0,1,0.0
BARRACKPUR,700000.0,0.0,1,0.0
BAREILLY,683234.0,0.0,1,0.0
KOLKATA UTTAR,5000000.0,0.0,1,0.0
KANPUR,3831541.0,0.0,1,0.0
KATIHAR,994740.0,0.0,1,0.0
NORTH EAST DELHI,898145.0,0.0,1,0.0
NAVSARI,500000.0,0.0,1,0.0
NARASARAOPET,416758.0,0.0,1,0.0
MORENA,800000.0,0.0,1,0.0
NAGALAND,300000.0,0.0,1,0.0
NAGAUR,400000.0,0.0,1,0.0
NAGINA(SC),1670509.0,0.0,1,0.0
NAGPUR,458593.0,0.0,1,0.0
MUMBAI SOUTH,3295410.0,0.0,2,0.0
MADURAI,2500000.0,0.0,1,0.0
MADHUBANI,990000.0,0.0,2,0.0
MACHHLISHAHR(SC),41792.0,0.0,1,0.0
MAVAL,1992236.0,0.0,2,0.0
MEDAK,1500000.0,0.0,2,0.0
MEERUT,967230.0,0.0,1,0.0
MOHANLALGANJ(SC),107985.0,0.0,1,0.0
KUSHI NAGAR,1433513.0,0.0,3,0.0
MAHASAMUND,250000.0,0.0,1,0.0
KISHANGANJ,1270000.0,0.0,2,0.0
KOLKATA DAKSHIN,1449042.0,0.0,1,0.0
